1 53 3
2 18 3
3 36 1
4 59 3
5 84 2
6 11 3
7 50 2
8 44 2
10 63 2
11 1 3
12 25 2
13 46 3
14 19 2
15 82 2
16 39 3
17 37 2
18 71 2
19 66 3
20 65 2
21 13 2
22 86 4
23 91 2
24 5 4
25 61 2
26 42 1
27 23 3
28 49 1
29 12 2
30 70 2
31 28 2
32 88 3
33 10 3
33 75 3
33 87 3
35 7 2
36 51 2
36 54 2
37 33 3
40 78 2
41 89 3
43 36 2
44 26 2
44 81 5
45 3 2
45 29 2
45 59 5
45 85 2
46 57 3
48 24 8
49 51 1
50 41 3
51 27 2
51 30 1
52 21 2
53 47 3
54 68 1
55 2 3
56 74 2
58 80 2
60 20 1
59 60 1
61 73 1
62 16 3
63 58 2
64 67 4
65 8 5
66 4 2
66 31 3
68 79 1
69 32 3
70 45 2
71 56 3
72 40 2
73 6 3
73 52 4
74 9 3
75 69 3
76 35 2
77 64 3
78 48 2
79 17 2
80 43 2
81 34 5
82 76 2
83 22 3
84 14 1
85 55 2
86 24 3
87 62 2
88 38 3
89 77 3
90 72 8
91 15 2
